,produto,categoria,Ano,quantidade_L
0,Tinto,VINHO DE MESA,1970,174224052
1,Branco,VINHO DE MESA,1970,748400
2,Rosado,VINHO DE MESA,1970,42236152
3,Tinto,VINHO FINO DE MESA (VINÍFERA),1970,7591557
4,Branco,VINHO FINO DE MESA (VINÍFERA),1970,15562889
5,Rosado,VINHO FINO DE MESA (VINÍFERA),1970,744900
6,Suco de uva integral,SUCO,1970,1097771
7,Suco de uva concentrado,SUCO,1970,0
8,Suco de uva adoçado,SUCO,1970,0
9,Suco de uva orgânico,SUCO,1970,0
10,Suco de uva reconstituído,SUCO,1970,0
11,Espumante,DERIVADOS,1970,0
12,Espumante moscatel,DERIVADOS,1970,0
13,Base espumante,DERIVADOS,1970,0
14,Base espumante moscatel,DERIVADOS,1970,0
15,Base Champenoise champanha,DERIVADOS,1970,0
16,Base Charmat champanha,DERIVADOS,1970,0
17,Bebida de uva,DERIVADOS,1970,0
18,Polpa de uva,DERIVADOS,1970,0
19,Mosto simples,DERIVADOS,1970,7170736
20,Mosto concentrado,DERIVADOS,1970,0
21,Mosto de uva com bagaço,DERIVADOS,1970,0
22,Mosto dessulfitado,DERIVADOS,1970,0
23,Mistelas,DERIVADOS,1970,1072100
24,Néctar de uva,DERIVADOS,1970,0
25,Licorosos,DERIVADOS,1970,282500
26,Compostos,DERIVADOS,1970,0
27,Jeropiga,DERIVADOS,1970,0
28,Filtrado,DERIVADOS,1970,0
29,Frisante,DERIVADOS,1970,0
30,Vinho leve,DERIVADOS,1970,0
31,Vinho licoroso,DERIVADOS,1970,0
32,Brandy,DERIVADOS,1970,0
33,Destilado,DERIVADOS,1970,830030
34,Bagaceira,DERIVADOS,1970,961290
35,Licor de bagaceira,DERIVADOS,1970,0
36,Vinagre,DERIVADOS,1970,0
37,Borra líquida,DERIVADOS,1970,3847673
38,Borra seca,DERIVADOS,1970,0
39,Vinho Composto,DERIVADOS,1970,0
40,Pisco,DERIVADOS,1970,0
41,Vinho orgânico,DERIVADOS,1970,0
42,Espumante orgânico,DERIVADOS,1970,0
43,Destilado alcoólico simples de bagaceira ,DERIVADOS,1970,0
44,Vinho acidificado ,DERIVADOS,1970,0
45,Mosto parcialmente fermentado ,DERIVADOS,1970,0
46,Outros derivados,DERIVADOS,1970,0
47,Tinto,VINHO DE MESA,1971,121133369
48,Branco,VINHO DE MESA,1971,1160500
49,Rosado,VINHO DE MESA,1971,31970782
50,Tinto,VINHO FINO DE MESA (VINÍFERA),1971,7265666
51,Branco,VINHO FINO DE MESA (VINÍFERA),1971,15655709
52,Rosado,VINHO FINO DE MESA (VINÍFERA),1971,664687
53,Suco de uva integral,SUCO,1971,2296654
54,Suco de uva concentrado,SUCO,1971,0
55,Suco de uva adoçado,SUCO,1971,0
56,Suco de uva orgânico,SUCO,1971,0
57,Suco de uva reconstituído,SUCO,1971,0
58,Espumante,DERIVADOS,1971,0
59,Espumante moscatel,DERIVADOS,1971,0
60,Base espumante,DERIVADOS,1971,0
61,Base espumante moscatel,DERIVADOS,1971,0
62,Base Champenoise champanha,DERIVADOS,1971,0
63,Base Charmat champanha,DERIVADOS,1971,0
64,Bebida de uva,DERIVADOS,1971,0
65,Polpa de uva,DERIVADOS,1971,0
66,Mosto simples,DERIVADOS,1971,7646774
67,Mosto concentrado,DERIVADOS,1971,0
68,Mosto de uva com bagaço,DERIVADOS,1971,0
69,Mosto dessulfitado,DERIVADOS,1971,0
70,Mistelas,DERIVADOS,1971,818400
71,Néctar de uva,DERIVADOS,1971,0
72,Licorosos,DERIVADOS,1971,270000
73,Compostos,DERIVADOS,1971,45000
74,Jeropiga,DERIVADOS,1971,0
75,Filtrado,DERIVADOS,1971,0
76,Frisante,DERIVADOS,1971,0
77,Vinho leve,DERIVADOS,1971,0
78,Vinho licoroso,DERIVADOS,1971,0
79,Brandy,DERIVADOS,1971,0
80,Destilado,DERIVADOS,1971,0
81,Bagaceira,DERIVADOS,1971,913200
82,Licor de bagaceira,DERIVADOS,1971,0
83,Vinagre,DERIVADOS,1971,21500
84,Borra líquida,DERIVADOS,1971,3565644
85,Borra seca,DERIVADOS,1971,0
86,Vinho Composto,DERIVADOS,1971,0
87,Pisco,DERIVADOS,1971,0
88,Vinho orgânico,DERIVADOS,1971,0
89,Espumante orgânico,DERIVADOS,1971,0
90,Destilado alcoólico simples de bagaceira ,DERIVADOS,1971,0
91,Vinho acidificado ,DERIVADOS,1971,0
92,Mosto parcialmente fermentado ,DERIVADOS,1971,0
93,Outros derivados,DERIVADOS,1971,0
